Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
anubias-afzelli,Anubias Afzelli,<p>Anubias Afzelli Live Aquarium Plant</p>,Duckaroo,,Product_Plants,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,29.90,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/images-_2.jpg?v=1707605088,1,"",false,,,,,,,,,,,,,,,,kg,,,active
anubias-afzelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/anubias-afzelli-wabi-kusa.jpg?v=1707605089,2,"",,,,,,,,,,,,,,,,,,,,
red-cherry-shrimp-1-5cm,Red Cherry Shrimp- 1.5cm,"<p>A Red Cherry Shrimp can be a great little freshwater shrimp to add to an aquarium. Their bright red color really adds beauty to a tank, especially one loaded with live green aquarium plants and black gravel or substrate. Cherry Shrimp or Neocaridina heteropoda, also known simply as Cherry Shrimp, are natives of Taiwan. But most available in stores today are bread in captivity as they can reproduce in fresh water. Red Cherry Shrimp are active and interesting to watch. Here is an HD video of a Red Cherry Shrimp feeding in a planted aquarium.</p>",Duckaroo,,Product_Shrimps,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,7.90,8.50,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/Shrimp-Cherrry-Red.jpg?v=1704757065,1,"",false,,,,,,,,,,,,,,,,kg,,,active
red-cherry-shrimp-1-5cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/RedCherryShrimpZoomed-1024x1024.jpg?v=1704757065,2,"",,,,,,,,,,,,,,,,,,,,
albino-bristlenose-catfish-ancistrus-albino-2-3-cm,Albino Bristlenose Catfish - Ancistrus Albino 2-3 cm,"<p>Are you looking for a unique and eye-catching addition to your aquarium? Consider the Albino Bristlenose catfish! This fascinating fish is a variety of the popular Common Bristlenose catfish, with a striking white or pale yellow coloration that adds a beautiful contrast to your tank.</p>
<p> </p>
<p>Like its Common Bristlenose cousin, the Albino Bristlenose is an excellent cleaner for your tank. These catfish are natural algae-eaters, helping to keep your tank's walls and substrate clean and healthy. They are also peaceful and easy to care for, making them a great addition to any community tank.</p>
<p> </p>
<p>But the benefits of the Albino Bristlenose go beyond just its cleaning abilities. Its unique appearance is sure to be a conversation starter among fellow hobbyists, and its small size makes it a great fit for smaller tanks. Plus, with their hardy nature, they can thrive in a variety of tank conditions.</p>
<p> </p>
<p>And the best part? Adding the Albino Bristlenose catfish to your tank won't break the bank. These catfish are affordable and widely available, making them a great choice for hobbyists of all levels.</p>
<p> </p>
<p>Don't settle for a boring and dirty tank - add the Albino Bristlenose catfish to your collection today and watch as your aquarium becomes the talk of the town. Order now and experience the unique beauty and cleaning power of the Albino Bristlenose catfish for yourself!</p>",Duckaroo,,Product_Shrimps,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,11.00,25.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/LF-ALBRIS-10CM.jpg?v=1704756847,1,"",false,,,,,,,,,,,,,,,,kg,,,active
bristlenose-catfish,Bristlenose catfish,"<p>Scientific Name: Ancistrus Cirrhosus</p>
<p> Priced per each, size: 3-5cm</p>
<p>Common names: Bristlenose catfish, pleco fish, bristlenose plecostomus, bushy nose pleco, picasimus, bushy nose catfish</p>
<p> </p>
<p>Origin: South America</p>
<p> </p>
<p>Habitat: Amazon and its rapid flowing tributaries</p>
<p> </p>
<p>Care level: Easy to intermediate</p>
<p> </p>
<p>Temperament : Suitable for a large community tank, peaceful</p>
<p> </p>
<p>Bristlenose plecostomus size: 5 inches</p>
<p> </p>
<p>Lifespan: 5 years</p>
<p> </p>
<p>Diet : Herbivore</p>
<p> </p>
<p>Colors or patterns: Brown, grey or green with yellow or white spots or albino (light yellow or pink)</p>
<p> </p>
<p>Minimum fish tank size: 40 gallon</p>
<p> </p>
<p>Tank level: Bottom dweller</p>
<p> </p>
<p>Temperature : 73 to 81 degrees Fahrenheit</p>
<p> </p>
<p>pH of water: 5.8 to 7.8</p>
<p> </p>
<p>Hardness of water: 2 to 30 dGH</p>
<p> </p>
<p>Breeding : Egglayer</p>
<p> </p>
<p>Tankmates: Snails, grazing fishes, guppies, neon tetras, platys, mollies, angelfish, barbs, catfish, and bettas</p>",Duckaroo,,Product_Shrimps,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,6.50,9.50,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/Bristlenose-Plecostomus-1.jpg?v=1703758168,1,"",false,,,,,,,,,,,,,,,,kg,,,active
bristlenose-catfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/bristlenose-catfish-ancistrus-common-2-turbo.jpg?v=1703758168,2,"",,,,,,,,,,,,,,,,,,,,
echinodorus-quadricostatus,Echinodorus quadricostatus,"<p> </p>
<p> The genus-name Echinodorus comes from Greek 'echino' (bristle, prickle) and 'doros' (gift) and refers to the hedgehog-like seeds, the species-name quadricostatus means 'with four ribs' and refers to the seeds.</p>
<p> Portion: 3-5 plants per bunch</p>
<p>Synonyms: Echinodorus magdalensis, Echinodorus intermedius.</p>
<p> </p>
<p>Family Alismataceae</p>
<p> </p>
<p>Common Name: chain sword</p>
<p> </p>
<p>Location: Central and South America</p>
<p> </p>
<p>Echinodorus quadricostatus is a little plant that is appropriate for smaller tanks or as a foreground plant in bigger ones. The plant is 10-15 cm (4-6”) tall. It has 1-2 cm (.39-.78”) wide bright green leaves. The leaves are narrow lancet-shaped. This plant has characteristic light-green leaves which form a good contrast to the darker aquarium plants. It is most beautiful when planted in groups. In good conditions it produces runners which spread over the bottom. Growth is more compact when planted in a pot or between stones or other objects. Very light leaves are a sign of a shortage of micro-nutrients. There is some confusion about the name of this plant, and it has been sold as Echinodorus bolivianus var. magdalenensis.</p>
<p> </p>
<p>The plant can be very prolific in proper conditions and will grow in all types of water</p>
<p> </p>
<p>The species is known in three variants: var. quadricostatus, var. magdalensis and var. xinguensis (narrow leaf form). These are separated only by differences in the form of the leaves.</p>
<p> </p>
<p>Light requirements: medium-very high</p>
<p> Echinodorus quadricostatus</p>
<p>Temperature: 20-28 °C (68-82°F)</p>
<p> </p>
<p>Hardness tolerance: very soft-hard</p>
<p> </p>
<p>pH tolerance: 6-9</p>
<p> </p>
<p>Growth: fast</p>
<p> </p>
<p>Propagation: Very prolific. Sends out runners.</p>
<p>  </p>
<p>I got this plant for my upstairs 70 gallon display tank. This tank is a Fluval Osaka 260 tank. This is the tank with the rounded glass corners on the tank. This tank comes with 36"" T5 high output double fluorescent fixtures with 2 bulbs. The tank is filtered with a Fluval 405. There are many different plants in this set up. I was able to try some plants I normally stay away from since this tank has better lighting on it than I normally have over my planted tanks. I did have an algae bloom problem for several months after setting the tank up. This was the type of algae that floats through the water. I just slowly kept adding plants and eventually this bloom disappeared. This plant didn’t do much at the beginning when I got it. It put out 3 little plants and stopped there. It stayed like that for over 3 months. Then one day while doing a water change I noticed something different about the quadricostatus plant. One of the little plants that the original plant had put out was growing like mad. It put out a really decent runner with lots of daughter plants on it. This runner made it out of the ground and kept growing daughter plants all the way up to the surface of the tank. I would think that there is at least 12 plants on that one runner. The catfish in the tank (farlowellas – 2 different species), have left this plant alone. The dwarf cichlids (Apistogramma borellii and Mikrogeophagus altispinosa) like to swim through the leaves but otherwise ignore the plants. I don’t add any fertilizers to my water. They get whatever comes from feeding the fish.</p>
<p> </p>
<p>The tank gets monthly water changes since it is lightly stocked. The Fluval gets cleaned out properly every 6-8 weeks.</p>
<p> </p>
<p>In the part of the tank that this plant is in, it’s created a little thicket of Echinodorus quadricostatus plants. I think if you let it, this interesting little plant could make a carpet in the foreground of your tank. I will be offering up this plant shortly to interested parties.</p>
<p> </p>",Duckaroo,,Product_Plants,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,5.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/Echquad.jpg?v=1702433172,1,"",false,,,,,,,,,,,,,,,,kg,,,active
cryptocoryne-spiralis-tiger,Cryptocoryne spiralis 'Tiger,"<p> </p>
<p>With 'Tiger' and 'Red', two pretty new forms of Cryptocoryne spiralis have entered the market via ADA few years ago. They are still rarely available in Europe. The Spiral water trumpet from southwestern India is an extremely polymorphic species, however the form 'Tiger' is unique. It resembles Cryptocoryne albida ""Brown"" but gets larger and grows faster. Its submerged leaves are very narrowly lanceolate with smooth to wavy edge, brown-red with dark ""tiger stripes"" that are more pronounced than in Cryptocoryne spiralis 'Red'. It also differs from the latter by wider, shorter, more spreading leaves under same growth conditions. Sometimes the midrib is vividly green, but less often than in 'Red'. In our aquariums, the 'Tiger' has formed nearly 30 cm long, 1,3 cm wide leaves but may become considerably taller.</p>
<p> </p>
<p>As several other Cryptocoryne spiralis forms, 'Tiger' is apparently a quite easy aquarium plant. Nutrient-rich substrate and CO2 addition are very beneficial for its growth. It is not a low-light plant, the lighting should be at least moderate, and strong light enhances its showy coloration. With time, daughter rosettes appear at the base of the plant that develops a tuft with many leaves and strong roots. The daughter plants can be cut off for propagation. We have not yet noticed long runners in C. spiralis 'Tiger'.</p>
<p> </p>
<p>Cryptocoryne spiralis 'Tiger' is an eye-catcher in not too small aquariums, best as a solitary bush in the midground. Its red-brown tones contrast well with light green plants</p>",Duckaroo,Home & Garden,Product_Plants,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,149.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/tieu-thao-tiger.jpg?v=1701513125,1,"",false,,,,,,,,,,,,,,,,kg,,50.00,active
cryptocoryne-spiralis-tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/files/species-profile-cryptocoryne-spiralis-tiger-v0-7j8ve1t8fh6a1.jpg-copy.jpg?v=1701513125,2,"",,,,,,,,,,,,,,,,,,,,
